phishing,is_phishing,hour_of_day,subject_length,description_length,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,predicted_phishing
False,0,2,25,140,False,False,False,False,True,False,0
False,0,12,44,145,False,False,False,True,False,False,0
False,0,1,59,129,False,True,False,False,False,False,0
False,0,19,60,155,False,False,True,False,False,False,0
False,0,16,29,156,False,False,False,False,True,False,0
False,0,13,58,136,False,False,False,False,False,False,0
False,0,10,65,110,False,False,True,False,False,False,0
False,0,3,28,134,True,False,False,False,False,False,0
False,0,6,46,126,False,False,False,False,True,False,0
False,0,12,41,169,False,False,False,False,False,False,0
False,0,1,48,114,False,False,False,False,False,True,0
False,0,19,66,151,False,False,False,False,False,False,0
False,0,8,25,180,False,False,False,False,True,False,0
False,0,18,68,181,False,False,False,True,False,False,0
False,0,17,84,179,False,False,False,False,False,True,0
False,0,7,47,216,False,True,False,False,False,False,0
False,0,18,58,162,False,False,False,True,False,False,0
False,0,20,73,162,True,False,False,False,False,False,0
False,0,14,46,98,False,False,False,False,True,False,0
False,0,12,74,212,False,False,False,False,False,False,0
False,0,14,65,214,False,False,True,False,False,False,0
False,0,12,47,119,False,False,False,False,False,True,0
False,0,18,53,209,False,False,False,False,False,True,0
False,0,17,52,170,False,True,False,False,False,False,0
False,0,0,48,90,False,False,False,True,False,False,0
False,0,15,66,160,False,True,False,False,False,False,0
False,0,12,36,103,True,False,False,False,False,False,0
False,0,1,44,119,False,True,False,False,False,False,0
False,0,18,65,218,False,False,True,False,False,False,0
False,0,18,74,159,True,False,False,False,False,False,0
False,0,14,40,155,False,False,False,False,True,False,0
False,0,18,68,200,False,False,True,False,False,False,0
False,0,3,44,87,False,False,True,False,False,False,0
False,0,0,42,137,False,False,True,False,False,False,0
False,0,7,110,165,False,False,False,False,False,False,0
False,0,20,84,166,True,False,False,False,False,False,0
False,0,2,80,215,False,False,True,False,False,False,0
False,0,9,48,140,False,False,False,False,False,True,0
False,0,5,81,163,True,False,False,False,False,False,0
False,0,0,94,204,False,False,True,False,False,False,0
False,0,20,46,108,False,False,False,True,False,False,0
False,0,12,81,170,False,False,True,False,False,False,0
False,0,19,44,105,False,False,False,False,True,False,0
False,0,20,68,159,False,False,True,False,False,False,0
False,0,4,78,191,False,False,False,False,False,True,0
False,0,7,49,128,False,False,False,False,False,True,0
False,0,4,36,126,False,False,False,False,True,False,0
False,0,11,54,104,False,False,False,False,False,True,0
False,0,0,73,126,False,False,False,False,False,False,0
False,0,16,43,131,False,False,False,False,False,False,0
False,0,19,38,112,False,False,False,False,False,False,0
False,0,4,64,156,True,False,False,False,False,False,0
False,0,12,38,140,False,True,False,False,False,False,0
False,0,21,51,158,False,False,False,True,False,False,0
False,0,22,35,102,False,False,False,True,False,False,0
False,0,8,44,134,True,False,False,False,False,False,0
False,0,4,80,143,False,False,False,False,False,False,0
False,0,12,61,138,False,False,False,False,False,True,0
False,0,3,58,122,False,False,False,True,False,False,0
False,0,1,46,98,False,False,False,False,False,False,0
False,0,9,50,88,False,False,True,False,False,False,0
False,0,3,25,215,False,False,False,False,True,False,0
False,0,4,53,102,False,False,False,False,True,False,0
False,0,18,44,146,False,False,False,True,False,False,0
False,0,22,53,104,False,True,False,False,False,False,0
False,0,6,68,171,True,False,False,False,False,False,0
False,0,4,59,165,False,True,False,False,False,False,0
False,0,8,50,224,False,False,False,False,False,False,0
False,0,4,67,153,False,False,True,False,False,False,0
False,0,15,47,134,True,False,False,False,False,False,0
False,0,11,45,216,False,False,False,False,False,True,0
False,0,17,89,137,False,True,False,False,False,False,0
False,0,7,67,112,True,False,False,False,False,False,0
False,0,0,61,216,False,False,False,True,False,False,0
False,0,22,57,125,False,False,False,False,False,False,0
False,0,7,48,127,False,False,True,False,False,False,0
False,0,10,65,240,False,False,False,False,True,False,0
False,0,4,58,104,False,False,False,False,True,False,0
False,0,1,48,140,False,False,False,False,False,False,0
False,0,19,31,91,False,False,False,False,False,False,0
False,0,3,60,118,False,False,False,False,False,False,0
False,0,12,43,216,False,False,False,True,False,False,0
False,0,8,68,158,False,False,True,False,False,False,0
False,0,20,23,64,False,False,False,False,True,False,0
False,0,23,38,107,False,True,False,False,False,False,0
False,0,7,51,233,False,False,False,False,False,True,0
